Ingreso,"Título","Jurisdicción","Departamento"
2024/01/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/01/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","MONTEVIDEO"
2024/02/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/02/02,"ASOCIADO A VD","COMISARÍA 25","CANELONES"
2024/01/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","PAYSANDÚ"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/02/06,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","COLONIA"
2024/02/05,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MALDONADO"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MALDONADO"
2024/05/08,"ASOCIADO A VD","COMISARÍA 6","SORIANO"
2024/01/13,"ASOCIADO A VD","COMISARÍA 14","LAVALLEJA"
2024/01/31,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MONTEVIDEO"
2024/02/07,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MALDONADO"
2024/01/04,"ASOCIADO A VD","COMISARÍA 25","CANELONES"
2024/01/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/01/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/01/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MONTEVIDEO"
2024/01/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","CERRO LARGO"
2024/01/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/01/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MONTEVIDEO"
2024/02/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","COLONIA"
2024/01/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","CANELONES"
